Producers,Headquarters,Value chain,Website,Species,Production process,Industry (Applications),Industry subsector tags,Investors,Association focus,Founding year,Start-up/scale-up?,Total disclosed investments since 2020,Development stage
Marine Bioproducts Cooperative Research Centre (MB-CRC),Australia,"Multi-stakeholder platform,Research",https://mbcrc.com/,,,,,,Growing the industry,,,$0,
Marine Innovation,South Korea,Applications,https://marineinv.com/,,,Bioplastics / biomaterials,,,,2019,checked,$0,Validation / Traction
Marinoë ,France,Farming & harvesting,https://marinoe.fr/,"Himanthalia elongata,Palmaria palmata,Porphyra sp.,Ulva sp.,Undaria sp.",Wild harvesting,Food,,,,1992,,$0,
Marinomed,Austria,Applications,https://www.marinomed.com/en,,,Pharmaceuticals,,,,2006,checked,$0,Scale-up / Industrialisation
Marinova,Australia,"Applications,Farming & harvesting",https://www.marinova.com.au/,"Undaria Pinnatifida,Fucus vesiculosus",Wild harvesting,"Nutraceuticals,Pharmaceuticals",Fucoidans,,,2003,checked,$0,Validation / Traction
maripure,Denmark,"Applications,Farming & harvesting",https://www.maripure.com/,Asparagopsis sp.,,,,,,2021,checked,$0,
Maritide,India,Farming & harvesting,https://www.maritide.earth/,Ulva sp.,"Onshore,Aquaculture",,,,,2023,checked,$0,Research / product development
Marivate,UK,Breeding & propagation,https://www.marivate-seaweed.com/,,,,,,,2022,,$0,
Marley Family Seaweeds,USA,Farming & harvesting,https://marleyfamilyseaweeds.com/,,Wild harvesting,,,,,,,$0,
Marnova,USA,"Farming & harvesting,Applications",https://www.marnova.co/,,Aquaculture,Carbon sequestration,,,,2025,checked,$0,
Martelly's Ocean Gardens,Saint Lucia,"Farming & harvesting,Applications",,,,Nutraceuticals,,,,,,$0,
Marudai Seaweed,Japan,Applications,http://www.marudaikaisou.com/,,,Food,Dried/raw seaweed,,,,,$0,
Maruha Nichiro Co.,Japan,Applications,https://www.maruha-nichiro.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Maruho Hobara Shoten Co.,Japan,Applications,https://www.hobara.com/,,,Food,Dried/raw seaweed,,,,,$0,
Maruki Endo Co.,Japan,Applications,https://yoriiso.com/,,,Food,Dried/raw seaweed,,,,,$0,
Marutoku,Japan,Applications,http://marutokunori.jp/en/company/,,,Food,Dried/raw seaweed,,,,,$0,
Maruyama,Japan,Applications,https://www.maruyamanori.com/,,,Food,Dried/raw seaweed,,,,,$0,
Matsuei Co.,Japan,Applications,https://w-shouei.jp/,,,Food,Dried/raw seaweed,,,1987,,$0,
Matsumoto Seaweed Co.,Japan,Applications,http://www13.plala.or.jp/m-kaisou/index.html,,,Food,Dried/raw seaweed,,,,,$0,
Matsutani,Japan,Applications,https://matsutaninori.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
MAVUNOLAB,Tanzania,Infrastructure & equipment,https://mavunolab.org/,,,,,,,2024,,$0,
Mawimbi (prev Sayari Ventures),Kenya,Farming & harvesting,http://mawimbi.co/,,,,,,,2023,checked,$0,Pilot / Demonstration
Maxicrop,UK,Applications,https://maxicrop.com/,,,Plant & soil nutrition,,,,,,$0,
MCA Algas y Derivados,Spain,Applications,https://mcaalgasyderivados.es,Ascophyllum nodosum,,Plant & soil nutrition,,,,2000,checked,$0,Mature / Public
McKinley Research Group,USA,Consulting,https://mckinleyresearch.com/,,,,,,Growing the industry,1974,,$0,
MCPI (Marine Colloid Philippines),Philippines,Applications,https://mcpicarrageenan.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Mediterranean Algae,Spain,"Farming & harvesting,Applications",https://www.mediterraneanalgae.com/,Ulva sp.,"Aquaculture,Onshore",Bioremediation / wastewater treatment,,Vincle Capital,,2020,checked,"$350,000",Pilot / Demonstration
Mellisa,Denmark,Applications,https://mellisa.dk/,,,Personal care,,,,,,$0,
Mendocino Sea Vegetable Company,USA,Farming & harvesting,https://www.seaweed.net/,,Wild harvesting,Food,,,,,,$0,
Meron (Marine Hydrocolloids),India,"Farming & harvesting,Applications",https://www.meron.com/,,,Hydrocolloids,Agar,,,1980,checked,$0,Mature / Public
Metal Production,Lithuania,Infrastructure & equipment,https://metalproduction.lt/,,,,,Morten Kroslid,,,,$0,
Mie University Seaweed Biorefinery Center,Japan,Processing,https://www.mie-u.ac.jp/research/intro/msbr-center.html,,,,Extraction,,,,,$0,
Miha Biotech,Canada,Applications,https://www.mihabiotech.com/,,,Pharmaceuticals,,Ocean Startup Challenge,,2022,checked,$0,Research / product development
Mina Agar Makmur / SeaSae,Indonesia,Farming & harvesting,https://www.uluu.com.au/press/uluu-signs-jv-deal-with-indonesian-seaweed-supplier,Gracilaria sp.,,,,,,,,$0,
Miryang Agar,South Korea,Applications,https://miryangagaragar.com/,,,Hydrocolloids,Agar,,,,,$0,
Mitsu Co.,Japan,Applications,http://www.mitsucorp.co.jp/index.html,,,Food,Dried/raw seaweed,,,,,$0,
Mitsubishi Corporation Life Sciences Limited,Japan,Applications,https://www.mcls-ltd.com/en/,,,Hydrocolloids,"Agar,Carrageenan,Alginate",,,,,$0,
Mitui Shoten,Japan,Applications,http://www.mitui-wakame.com/,,,Food,Dried/raw seaweed,,,,,$0,
Miyakojima Fisheries Cooperation,Japan,Farming & harvesting,https://www.miyakojimagyo.com/,"Cladosiphon okamuranus,Ulva sp.",Nearshore,,,,,,,$0,
MJK Universal Indonesia,Indonesia,Farming & harvesting,,"Kappaphycus alvarezii,Eucheuma denticulatum",,,,,,,,$0,
Mobile Sea Otters,Japan,Conservation & restoration,https://rakkotai.org/en/,,,,Urchin removal,,,,,$0,
Monkeys By The Sea,Netherlands,Applications,https://monkeysbythesea.com,,,Food,Seafood substitute,,,2021,checked,"$500,000",Validation / Traction
Montauk Seaweed Supply Company,USA,Applications,https://montaukseaweedsupply.com/,Dasysiphonia japonica,,Plant & soil nutrition,,,,2021,,$0,
Monterey Bay Seaweeds,USA,Farming & harvesting,http://www.montereybayseaweeds.com/,"Palmaria palmata,Ulva sp.,Gracilaria sp.,Porphyra sp.,Alaria marginata","Aquaculture,Onshore",,,,,,,$0,
Moonrise Seaweed Farm,Australia,Farming & harvesting,https://moonriseseaweed.farm/,Ecklonia radiata,Wild harvesting,,,,,2019,,$0,
Moreshrooms,Norway,Applications,https://more-shrooms.com/,,,Food,Protein,Blue Bio Value,,2023,checked,$0,Research / product development
Morocco Seaweed,Morocco,Farming & harvesting,https://www.morocco-seaweed.com/,"Ulva lactuca,Gelidium sesquipedale,Gracilaria sp.,Gigartina sp.,Laminaria sp.",,,,,,,,$0,
Moss Be Nice,Jamaica,"Farming & harvesting,Applications",https://www.instagram.com/mossbenice.ja/,,,Nutraceuticals,,,,,,$0,
MRDC (RICO),Philippines,Applications,https://www.mrdccarrageenan.com/,,,Hydrocolloids,Carrageenan,,,1980,checked,$0,Mature / Public
MSC,South Korea,Applications,http://msckorea.com/,,,Hydrocolloids,"Agar,Carrageenan,Alginate",,,,,$0,
mujō,Germany,Applications,https://mujolab.com/,,,Bioplastics / biomaterials,,,,2021,checked,$0,Research / product development
Murre Technologies,Netherlands,Infrastructure & equipment,https://www.murre.nl/,,,,,,,,,$0,
Mwani Blu,Kenya,Applications,https://mwaniblu.com/,,,Plant & soil nutrition,,TECA,,2023,,$0,
Mwani Zanzibar,Tanzania,"Farming & harvesting,Applications",https://mwanizanzibar.com/,Eucheuma denticulatum,Aquaculture,Personal care,,,,,,$0,
N9VE (pivot),Portugal,Applications,,,,,,Blue Bio Value,,2019,checked,$0,Pivot away from seaweed
NAAM Madagascar (Natural Aromes Authentic of Madagascar),Madagascar,Farming & harvesting,https://www.linkedin.com/in/anita-ah-ying-b8617a56/,"Kappaphycus alvarezii,Eucheuma denticulatum,Ulva sp.","Aquaculture,Nearshore",,,,,,,$0,
Naas Foods / Keltsmaht Kelp,Canada,"Farming & harvesting,Applications",https://naasfoods.com/,Macrocystis tenuifolia,"Wild harvesting,Aquaculture","Food,Plant & soil nutrition",,,,2021,,$0,
Nagai Nori,Japan,Applications,https://www.nagainori.co.jp/english/,,,Food,Dried/raw seaweed,,,,,$0,
Nama Fiji (Essence of Fiji),Fiji,Applications,https://nama-fiji.com/,Caulerpa lentillifera,Wild harvesting,Personal care,,,,,,$0,
"Nantong Dingbur Seaweed Food Co., Ltd.",China,"Farming & harvesting,Applications",http://en.dingbuer.com.cn/,Porphyra yezoensis,"Aquaculture,Nearshore",Food,Dried/raw seaweed,,,,,$0,
"Nantong Reliable Seaweed Co., Ltd",China,"Applications,Farming & harvesting",http://www.reliableseaweed.com/index.html,Porphyra sp.,Aquaculture,Food,Dried/raw seaweed,,,2005,,$0,
"Nantong Sinfo Food Co., Ltd.",China,"Applications,Farming & harvesting",https://www.china-nori.com/,Porphyra sp.,,Food,Dried/raw seaweed,,,2013,,$0,
"Nantong Yuanwei Food Co., Ltd",China,"Applications,Farming & harvesting",https://www.yuanweinori.com/,Porphyra sp.,,Food,Dried/raw seaweed,,,2015,,$0,
National Federation of Nori and Shellfish Fisheries Cooperatives of Japan,Japan,Multi-stakeholder platform,http://www.zennori.or.jp/,,,,,,Producers association,,,$0,
National Seaweed Hub,USA,Multi-stakeholder platform,https://seaweedhub.extension.uconn.edu/,,,,,,Growing the industry,,,$0,
Native Conservancy,Canada,Conservation & restoration,https://www.nativeconservancy.org/oceanback-habitat-restoration.html,,,,,,,,,$0,
Natrakelp,Australia,Applications,https://www.natrakelp.com/,,,Plant & soil nutrition,,,,,,$0,
NatraSol,Australia,Applications,https://www.natrasol.com.au/,,,Plant & soil nutrition,,,,,,$0,
Natural Plant Protection (UPL),India,Applications,https://www.npp-ag.com/,,,Plant & soil nutrition,,,,2020,checked,$0,Mature / Public
Naturalg,Madagascar,Farming & harvesting,,Kappaphycus alvarezii,"Aquaculture,Nearshore",,,,,,,$0,
Nautical Farms,USA,Farming & harvesting,https://www.nauticalfarms.com/,"Alaria esculenta,Saccharina latissima",Aquaculture,,,,,,,$0,
Nemo Seafarms,Finland,Farming & harvesting,https://www.nemo-seafarms.com/,Fucus sp.,Aquaculture,,,,,2021,,$0,
Neomed-Pharma (Algifol / Nutripferd),Germany,Applications,https://neomed-pharma.com/,Ascophyllum nodosum,,"Feed,Nutraceuticals,Plant & soil nutrition",,,,,,$0,
Neptune Elements,France,Applications,https://neptuneelements.com/,,,Food,Snacks and seasoning,,,2021,checked,"$987,000",Validation / Traction
Neptune's Harvest,USA,Applications,https://www.neptunesharvest.com/,,,Plant & soil nutrition,,,,,,$0,
Neptune's Yard / Nurturing by Nature,UK,Applications,https://www.nurturingbynature.co.uk/product/neptunes-yard-prebiotic-fermented-seaweed-dog-food-supplement,,,Feed,Pet food,,,2021,,$0,
NeptuTherm,Germany,Applications,https://www.neptugmbh.de/,Posidonia oceanica,,Construction,,,,,,$0,
New England Sea Farms,USA,Farming & harvesting,https://newenglandseafarms.com/,Saccharina latissima,Aquaculture,Food,,,,,,$0,
New Wave Foods (failed),USA,Applications,,,,Food,Seafood substitute,"Blue Horizon,Big Idea Ventures,Evolution VC,New Enterprise Associates (NEA),Zandbergen World’s Finest Meat,Tyson Foods",,2015,checked,"$18,000,000",Failed / Zombie
Newfoundland Seaweed Company,Canada,Farming & harvesting,https://nlseaweed.com/,,Wild harvesting,,,,,,,$0,
Nextgen Biotech,India,Applications,https://www.nextgenbiotech.in/,Ascophyllum nodosum,,Plant & soil nutrition,,,,2022,checked,$0,Validation / Traction
NH Foods (NatuMeat),Japan,Applications,https://www.nipponham.co.jp/eng/,,,Food,Seafood substitute,,,,,$0,
Niconico Nori,Japan,Applications,https://www.niconico-nori.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Nippon Steel,Japan,"Applications,Conservation & restoration",https://energy-shift.com/news/2c9d7cd2-a57b-42f8-be7d-d725587d0d23/,,,Construction,,,,,,$0,
Nitto Seaweed Co.,Japan,Applications,http://www.nittoukaisou.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
NividiSkin,France,Applications,https://nividiskin.com/,,,Personal care,,,,,,$0,
NOAA,USA,Multi-stakeholder platform,https://www.noaa.gov/,,,,,,Growing the industry,,,$0,
Noble Ocean Farms,USA,Farming & harvesting,https://nobleoceanfarms.com/,"Alaria esculenta,Alaria marginata,Nereocystis luetkeana",Aquaculture,,,Alaska Ocean Cluster,,,,$0,
Nomet,Belgium,Applications,https://www.nomet.be/,,,Food,,,,,,$0,
Noordoogst,Netherlands,Farming & harvesting,https://noordoogst.nl/,,"IMTA,Onshore",Food,,,,2013,,$0,
Nora Snacks,USA,Applications,https://www.norasnacks.com/,,,Food,Snacks and seasoning,,,2018,checked,$0,Validation / Traction
Nordaqua,Finland,"Multi-stakeholder platform,Research",https://nordaqua.fi/,,,,,,Research platform,,,$0,
Nordi Ocean,Norway,"Applications,Breeding & propagation,Processing,Farming & harvesting",https://www.nordiocean.no/,,,,,,,2017,checked,$0,Pilot / Demonstration
Nordic Algae (failed),Denmark,Infrastructure & equipment,,,,,,EIT Climate-KIC,,2016,checked,$0,Failed / Zombie
Nordic Seafarm,Sweden,Farming & harvesting,https://www.nordicseafarm.com/,"Saccharina latissima,Ulva sp.",Aquaculture,Food,,"Almi Invest,JCE Ventures,Kale United,Inter Ikea Group,InnoEnergy",,2016,checked,"$4,550,000",Pilot / Demonstration
Nordisk Tang - Nordic Seaweed (failed),Denmark,Applications,,,,Food,Snacks and seasoning,Accelerace,,2015,checked,$0,Failed / Zombie
Norfolk Seaweed,UK,Farming & harvesting,https://www.norfolkseaweed.com/,,Aquaculture,,,,,,,$0,
Nori Business Promotion Council,Japan,Multi-stakeholder platform,https://www.temakizushi.com/,,,,,,Producers association,,,$0,
Noriware,Switzerland,Applications,https://www.noriware.com,,,Bioplastics / biomaterials,,,,2021,checked,"$1,118,000",Research / product development
North American Kelp,USA,"Applications,Farming & harvesting",https://noamkelp.com/,Ascophyllum nodosum,Wild harvesting,"Feed,Plant & soil nutrition",,,,1971,checked,$0,Mature / Public
North Atlantic Organics,Canada,"Farming & harvesting,Applications",https://www.naorganics.com/,Laminaria sp.,Wild harvesting,"Feed,Plant & soil nutrition",Livestock feed,,,,,$0,
North Coast Seafoods,USA,Applications,https://www.northcoastseafoods.com/,,,Food,,,,,,$0,
North Sea Farmers,Netherlands,Multi-stakeholder platform,https://www.northseafarmers.org/,,,,,,Producers association,,,$0,
North Sea Greens,Netherlands,Distribution,https://www.northseagreens.nl/,,,Food,,,,2021,checked,$0,Validation / Traction
North Seaweed,Netherlands,Distribution,https://www.northseaweed.nl/,,,,,,,,,$0,
Norway Seaweed AS,Norway,Applications,https://norwayseaweed.no/,,,Nutraceuticals,,,,2015,,$0,
Norwegian Seaweed Biorefinery Platform,Norway,"Multi-stakeholder platform,Research,Processing",https://www.sintef.no/projectweb/seaweedplatform/,,,,Biorefinery,,Research platform,,,$0,
Norwegian Seaweed Farms,Norway,Multi-stakeholder platform,https://www.norwegianseaweedfarms.com/,,,,,,Producers association,,,$0,
Norwegian Seaweed Production / Fjord Tang,Norway,"Farming & harvesting,Infrastructure & equipment",https://norwegiansp.no/,Laminaria hyperborea,Wild harvesting,,,"Aksello,Innovation Norway",,2016,checked,"$2,200,000",Scale-up / Industrialisation
Notpla,UK,Applications,https://www.notpla.com/,,,"Bioplastics / biomaterials,Paper / cardboard",,"Sky Ocean Ventures,Lupa Systems,Astanor Ventures,Stichting DOEN,Torch Capital,Crowdfunding,Catalytic Capital for Climate & Health - Temasek Trust,UB Forest Industry Green Growth Fund",,2014,checked,"$47,100,000",Validation / Traction
Nova Scotia Fisherman,Canada,Applications,https://www.novascotiafisherman.com/,,,Personal care,,,,2012,,$0,
NovaMatrix (IFF),Norway,Applications,https://novamatrix.biz/,,,Hydrocolloids,Alginate,,,,,$0,
Numami,Estonia,Applications,https://numami.ee/,,,Food,Snacks and seasoning,,,,,$0,
Numar ,Portugal,,https://numarbiotech.wixsite.com/sines,,Aquaculture,,,Blue Bio Value,,2021,checked,$0,Research / product development
Nün,Chile,"Applications,Farming & harvesting",https://en.productosnun.com/,Durvillaea antarctica,Wild harvesting,Food,,,,,,$0,
NUQO,France,Applications,http://nuqo.eu/,,,Feed,,,,2019,checked,$0,Scale-up / Industrialisation
Nuri,France,Applications,https://www.bonjournuri.com/,"Saccharina latissima,Undaria Pinnatifida,Palmaria palmata,Porphyra sp.,Ulva sp.,Himanthalia elongata",,Food,Snacks and seasoning,,,2020,checked,$0,Validation / Traction
Nutri-San,Vietnam,"Farming & harvesting,Applications",https://nutri-san.eco/,Ulva sp.,"Aquaculture,Wild harvesting",Feed,"Livestock feed,Aquafeed,Pet food",Future Planet Capital,,2017,checked,$0,Validation / Traction
Nutrico,South Africa,Applications,https://www.nutrico.co.za/,Ecklonia maxima,,Plant & soil nutrition,,,,,,$0,
Nutrimar AS,Norway,Farming & harvesting,https://nutrimar.no/,Laminaria hyperborea,Wild harvesting,"Food,Nutraceuticals",,,,2007,checked,$0,Mature / Public
NUWEN by Setalg (failed),France,Applications,,"Ascophyllum nodosum,Fucus sp.,Palmaria sp.,Porphyra sp.,Ulva sp.,Undaria sp.",,"Personal care,Feed,Plant & soil nutrition,Food","Pet food,Aquafeed",,,,,$0,
NZ Kelp,New Zealand,"Farming & harvesting,Applications",https://www.nzkelp.co.nz/,Macrocystis pyrifera,Wild harvesting,"Feed,Plant & soil nutrition,Food","Livestock feed,Snacks and seasoning",,,2010,,$0,
OCC Corporation,Japan,Infrastructure & equipment,https://www.resortech.okinawa/news/case-study/jirei4,Caulerpa lentillifera,"Aquaculture,Onshore",,,,,1967,,$0,
Ocealg,France,Farming & harvesting,https://www.ocealg.com/,,Wild harvesting,Food,,,,,,$0,
Ocean Agraria,Indonesia,Farming & harvesting,https://oceanagraria.com/,"Sargassum sp.,Eucheuma denticulatum","Wild harvesting,Aquaculture",,,,,2022,,$0,
Ocean and Green,New Zealand,Applications,https://www.oceanandgreen.co.nz/,Macrocystis sp.,,"Personal care,Food,Nutraceuticals",Snacks and seasoning,,,,,$0,
Ocean Barriers,Mexico,Infrastructure & equipment,https://oceanbarriers.com/,Sargassum sp.,,,,,,,,$0,
Ocean Biofuels,UK,Infrastructure & equipment,https://oceanbiofuels.co.uk/,,,,,,,2022,checked,$0,Research / product development
Ocean Bites,Belgium,Farming & harvesting,https://www.oceanbites.eu/,Palmaria palmata,"Aquaculture,Onshore",,,,,2022,checked,$0,Validation / Traction
Océan de saveurs,Canada,"Farming & harvesting,Applications",https://oceandesaveurs.ca/,,Wild harvesting,Food,,,,,,$0,
Ocean Era,USA,Farming & harvesting,http://ocean-era.com/,,"Aquaculture,Offshore,IMTA",,,,,2012,,$0,
Ocean Farmers,Madagascar,Farming & harvesting,https://ocean-farmers.com/,Kappaphycus alvarezii,"Aquaculture,Nearshore",,,,,,,$0,
Ocean Forest (Lerøy Ocean Harvest / Maer),Norway,"Farming & harvesting,Applications",https://www.leroyseafood.com/en/sustainability/ocean-harvest/,"Alaria esculenta,Laminaria digitata,Palmaria palmata,Saccharina latissima,Ulva lactuca","Aquaculture,IMTA",Food,Snacks and seasoning,,,2016,checked,$0,Pilot / Demonstration
Ocean Harvest Sea Vegetables,USA,Farming & harvesting,https://seaweedmermaid.com/,,Wild harvesting,Food,,,,1981,,$0,
Ocean Harvest Technology,Ireland,"Farming & harvesting,Applications",https://oceanharvesttechnology.com/,,"Wild harvesting,Aquaculture,Onshore",Feed,"Livestock feed,Pet food","Blue Wire Capital,IPO",,2017,checked,"$8,400,000",Mature / Public
Ocean kiss,France,Applications,https://www.ocean-kiss.com/,,,Food,Seafood substitute,,,2023,checked,$0,Pilot / Demonstration
Ocean Knowledge,Ireland,"Farming & harvesting,Applications",https://www.oceankl.com/,Ascophyllum nodosum,Wild harvesting,Plant & soil nutrition,,,,2018,checked,$0,Validation / Traction
Ocean Leaves ( K + M Aquatic Plant Enterprises),Ireland,Applications,https://oceanleaves.ie/,,,Plant & soil nutrition,,,,2013,,$0,
Ocean Made,USA,Applications,https://www.oceanmade.co/,,,"Bioplastics / biomaterials,Plant & soil nutrition",,,,2021,checked,$0,Pilot / Demonstration
Ocean Organics,USA,"Farming & harvesting,Applications",https://oceanorganics.com/,Ascophyllum nodosum,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Ocean Purpose Project,Singapore,Multi-stakeholder platform,https://www.oceanpurposeproject.com/,,,,,,,2019,,$0,
Ocean Rainforest,Faroe Islands,Farming & harvesting,https://www.oceanrainforest.com/,"Alaria esculenta,Laminaria digitata,Saccharina latissima","Aquaculture,Offshore",,,"Katapult Ocean,WWF,Grantham Foundation,Sea Ahead,Norðoya Íløgufelag,Ocean Born Foundation,Twynam Invest,Triodos Impact Investment,Potato Impact Partners",,2007,checked,"$10,500,000",Validation / Traction
Ocean Scientific International Ltd (OSIL),UK,Monitoring tech & software,https://osil.com/2021/08/05/new-aquaculture-monitoring-buoy-for-asset-management/,,,,,,,,,$0,
Ocean Wise,Canada,Conservation & restoration,https://ocean.org/,,,,,,,,,$0,
Ocean's Balance,USA,Applications,https://oceansbalance.com/,,,Food,Snacks and seasoning,"Katapult Ocean,St. Cousair,Norfolk Green Ventures",,2016,checked,$0,Validation / Traction
Ocean's Halo (New Frontier Foods),USA,Applications,https://oceanshalo.com/,,,Food,Snacks and seasoning,"Gratitude Railroad,Cava Capital",,2011,checked,"$16,000,000",Scale-up / Industrialisation
Ocean's Oasis,Costa Rica,Farming & harvesting,https://www.linkedin.com/company/oceansoasis-cr/,,,,,,,,,$0,
Oceana,USA,Conservation & restoration,https://oceana.org/,,,,,,,,,$0,
Oceana Minerals,Brazil,"Farming & harvesting,Applications",https://www.oceanaminerals.com/,Lithothamnium sp.,Wild harvesting,"Feed,Plant & soil nutrition","Livestock feed,Aquafeed",,,,,$0,
oceanBASIS,Germany,Applications,https://www.oceanbasis.de/,,,"Food,Personal care",,,,2001,,$0,
oceanfarmr,Australia,"Monitoring tech & software,Financing & insurance",https://www.oceanfarmr.com/,,,,,"Katapult Ocean,Biodiversity Accelerator,Builders Vision",,2020,checked,"$1,450,000",Pilot / Demonstration
Oceanfruit,Germany,Applications,https://oceanfruit.de/en/,,,Food,Snacks and seasoning,,,2020,checked,$0,Validation / Traction
Oceanic Seaweeds,India,"Farming & harvesting,Applications",https://www.linkedin.com/in/oceanic-seaweeds-p-ltd-519552289/,"Kappaphycus alvarezii,Gracilaria sp.","Aquaculture,Nearshore","Nutraceuticals,Plant & soil nutrition",,,,2017,,$0,
Oceanium,UK,"Applications,Processing",https://www.oceanium.co.uk/,,,"""Pigments, inks, dyes, coatings"",Food,Personal care","Biorefinery,Fucoidans","Katapult Ocean,WWF,Green Angel Syndicate,Sky Ocean Ventures,Sustainable Ocean Alliance,Builders Vision,Norfolk Green Ventures,Sustainable Finance Initiative,BDT & MSD Partners,Sea Ahead",,2018,checked,"$7,000,000",Pilot / Demonstration
OceanOrganic,Canada,"Farming & harvesting,Applications",https://organicocean.ca/,"Ascophyllum nodosum,Fucus vesiculosus,Saccharina longicruris",Wild harvesting,"Feed,Plant & soil nutrition",,,,2008,checked,$0,Scale-up / Industrialisation
Oceans 2050,Germany,"Research,Conservation & restoration",https://oceans2050.com/,,,,,,,,,$0,
Oceans Alaska,USA,Breeding & propagation,https://oceansalaska.org/,,,,,,,,,$0,
Oceans of Goodness,UK,Applications,https://www.oceansofgoodness.co.uk/,,,"Feed,Nutraceuticals",Pet food,,,,,$0,
Oceans Plastic,USA,Applications,https://www.oceansplastic.com/,,,Bioplastics / biomaterials,,,,2022,checked,$0,Research / product development
Oceans Unlocked / SeaFlavours,Netherlands,Distribution,https://seaflavours.nl/,,,Food,,,,,,$0,
OceanWide Seaweed,Denmark,Farming & harvesting,https://www.linkedin.com/in/oceanwide-seaweed-aps-656b97241/,Palmaria palmata,Aquaculture,,,,,2022,checked,$0,Pilot / Demonstration
Odakane Co.,Japan,Applications,https://www.odakane.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Offshore Greens,USA,Applications,https://offshoregreens.com/,,,Nutraceuticals,,,,,,$0,
Ogura ,Japan,Distribution,https://www.ogurakonbu.co.jp/,Saccharina japonica,,,,,,,,$0,
Ohmoriya,Japan,Applications,https://ohmoriya-inc.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Ohno Nori,Japan,Applications,https://www.oononori.co.jp/oononori/own/index.asp,,,Food,Dried/raw seaweed,,,,,$0,
Oilean Glas Teoranta (TradeCorp / Rovensa Next),Ireland,"Farming & harvesting,Applications",https://ogt.ie/,Ascophyllum nodosum,Wild harvesting,Plant & soil nutrition,,,,2004,checked,$0,Mature / Public
Oimo,Spain,Applications,https://oimomaterial.com/,,,Bioplastics / biomaterials,,EIT Climate-KIC,,2019,checked,$0,Pilot / Demonstration
Oki Products Co.,Japan,Applications,https://www.okiproducts.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Ola Farms,USA,Farming & harvesting,https://www.olafarms.org/,,,,,,,,,$0,
Olala,France,Applications,https://www.olalafoods.fr/,,,Food,,,,2021,checked,$0,Validation / Traction
Olgram,France,Applications,https://www.olgram.com/,,,Pharmaceuticals,,Bpifrance,,2021,checked,"$1,800,000",Pilot / Demonstration
Olijck,Netherlands,Applications,https://www.olijckfoods.com/,"Palmaria palmata,Undaria sp.",,Food,Meat substitute,,,2016,,$0,
OLMIX,France,"Applications,Farming & harvesting",https://olmix.com/,"Solieria sp.,Ulva sp.","Wild harvesting,Aquaculture","Plant & soil nutrition,Feed","Livestock feed,Pet food,Aquafeed",,,1995,checked,$0,Mature / Public
Omar Seaweed,Oman,Farming & harvesting,https://www.omar-seaweed.om/,,"Aquaculture,Offshore",,,,,2021,checked,$0,Pilot / Demonstration
Omø Fisk & Tang,Denmark,Farming & harvesting,https://omoetang.dk/,"Fucus serratus,Fucus vesiculosus,Laminaria digitata,Saccharina latissima",Wild harvesting,Food,,,,,,$0,
Oo-Nee,USA,Conservation & restoration,https://www.oo-nee.com/,,,,Urchin removal,,,2024,checked,$0,Research / product development
Operation Crayweed,Australia,Conservation & restoration,http://www.operationcrayweed.com/,,,,,,,,,$0,
Oregon Chem Group,Chile,Applications,https://oregonchem.com/,,,Hydrocolloids,Agar,,,,,$0,
Oregon Dulse,USA,Farming & harvesting,http://www.oregondulse.com/,"Palmaria mollis,Devaleraea Mollis","Aquaculture,Onshore",,,"Katapult Ocean,Blue Bio Value",,2016,checked,$0,Validation / Traction
Oregon Kelp Alliance,USA,Conservation & restoration,https://www.oregonkelp.com/,,,,,,,,,$0,
Oregon Sea Farms,USA,Farming & harvesting,https://www.oregonseafarms.com/,Palmaria mollis,"Wild harvesting,Aquaculture",Food,,,,,,$0,
Organics Atlantic,South Africa,Farming & harvesting,https://www.organicsatlantic.com/,"Laminaria sp.,Ecklonia maxima,Ulva sp.,Porphyra sp.",Wild harvesting,,,,,,,$0,
Origin by Ocean,Finland,"Farming & harvesting,Processing,Applications",https://www.originbyocean.com/,"Fucus vesiculosus,Sargassum sp.,Saccharina latissima,Rugulopteryx okamurae","Wild harvesting,Aquaculture",Personal care,Biorefinery,"Angel investors (various),KPMG Finland,Kiilto Ventures,Blue Bio Value,Batofin,Lifeline Ventures,Voima Ventures",,2019,checked,"$10,375,000",Pilot / Demonstration
Orkney Seaweed Company Ltd,UK,"Applications,Farming & harvesting",https://www.orkneyseaweed.co.uk/,,Wild harvesting,Plant & soil nutrition,,,,,,$0,
OSEA,USA,Applications,https://oseamalibu.com/,,,Personal care,,,,,,$0,
Osland Havbruk AS,Norway,Farming & harvesting,https://osland.no/,Saccharina latissima,Aquaculture,,,,,,,$0,
Otomegusa Co. ,Japan,Applications,https://otomegusa.com/,,,Food,Dried/raw seaweed,,,,,$0,
