,Scientific Name,Common name,Division,Micro/Macro,Color,Water type (marine/fresh/brackish/terrestrial),Geographic Positioning within Europe,Habitat,Invasive?,"Invasive information (where, how, strategies, etc.)",Water temperature for growth (C),Optimal water temperature for growth (C),Salinity for growth (PSU),Depth range (m),Is the algae facing changes with rising sea temp?,Unnamed: 15,Temperature tolerance,Thickness/size,Status (impacted by humans?),Already on the market?,Listed in EU Novel Food Catalogue,Food supplement at Union list of Novel Foods,"production cost (high or low and what does that mean, laborintensive, complex processing)",Can it be grown in a polyculture?,Where/how is it grown? lab/farm/wild,Growth rate + specify if in wild or cultivation (can be in terms of biomass yield) ,Harvesting/collection methods,Time of Harvest (incl # times a year),processing/extraction methods,Country (that uses the algae),Region in europe,Seaboard,Nutritional Profile,take up,of meavy metals (Y/N),Companies using the algae + their product,Industrial applications,Extracts,Agriculture,Art materials + cosmetics,Packaging + materials,Environment,Carrier of other organisms?,Human consumption,Medicinal,Risks + dangers,usage within agriculture + products,medicinal,Flavor/Diet,medicinal/health,Flavor/Diet.1,other,Additional properties,Unnamed: 53,Synonyms,Genus,Species
93,Grateloupia proteus,,Rhodophyta,Macro,red,marine,Sicily (Catania),,"not native, very little info on invasiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grateloupia,proteus
94,Grateloupia spp.,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salads and soups,,,,,,,,,,,,Grateloupia,
95,Grateloupia turuturu,devil's tongue weed,Rhodophyta,Macro,red,marine,"France, Italy, Netherlands, Portugal, Russia, Spain, UK, Channel Islands","coastal habitats from cold-temperate to warm-temperate regions and grows on a variety of substrates, including bedrock, boulders, cobbles, shells, and artificial substrates, including ship hulls",Yes,"Spain, North America, Europe, Oceania",-15 to 10 °C,,30-35,0 to 10 m,,,,,,,,,,,,,,,Table - PMC (nih.gov),,,,,,,,agar,"Phospholipids, Glycolipids, Eicosapentaenoic acid, R-phycoerythrin, α-tocopherol, Phytonadione (vitamin K1), Squalene",fertilizer,,,,,yes,,,,,,,,,,,,Grateloupia,turuturu
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Haematococcus lacustris,,Chlorophyta,Micro,"green, red when stressed",freshwater,,supralittoral rock ponds,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haematococcus,lacustris
98,Haematococcus pluvialis,astaxanthin,Chlorophyta,Micro,green in growth stage and red in astaxanthin accumulation stage,freshwater,,,no,,,,,,,,,,,,,"yes, astaxanthin-rich oleoresin",,,,,,,,,,,,,,"Pondtech extracts astaxanthin from H. pluvialis, IGVPlantTech uses in astaxanthin production",biofuels,astaxanthin,,,,,,,,,,,,,,"Haematococcus pluvialis, Astaxin, Astaxanthin-rich oleoresin from Haematococcus pluvialis on the Union List of Novel Foods",,,,Haematococcus,pluvialis
99,Haematococcus sp.,,Chlorophyta,Micro,green,"freshwater, terrestrial",,,,,,,,,,,,,,yes,,,"Relativelely low cost, compared with some competing microalgae",yes,,,,,,"European aquaculture systems, individual consumers across Europe",,,"carotenoids, proteins, and fatty acids (FAs), particularly astaxanthin,",,,,,,,,,,,,,,"UV light protection, anti-inflammatory - all because of astaxanthan which is both a strong coloring agent and antioxident",,used as an antioxidant food supplement or as food coloring (used in salmon aquaculture).,,,,"CO2 fixation,",,,Haematococcus,
100,Halidrys siliquosa,"Serrated wrack, sea oak, sea pea",Phaeophyta,Macro,brown,marine,"British Isles, Portugal, Atlantic coasts of Spain and France, Netherlands, Baltic Sea, Norway, Faroes","large, mid-intertidal pools, often dominating in the very large, sunny pools, but more often forming occasional stands. Occasionally forming extensive forests in the shallow subtidal",no,,-15 to 10 °C,,20-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,phlorotannins - UV filter activity,,,,,,,,,,,,,,,,Halidrys,siliquosa
101,Heterosiphonia plumosa,siphoned feather weed,Rhodophyta,Macro,red,marine,"British Isles including the Shetlands and the Channel Islands, Portugal, Spain, France, Baltic Sea, Norway","Epilithic in low littoral rock pools and sublittoral, epiphyte on seaweeds",no,,-15 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia,plumosa
102,Hildenbrandia rubra,hildenbrand's red weed,Rhodophyta,Macro,red,"marine, brackish",Britain and Ireland,"Found on rocks, stones and pebbles at all tidal levels of the shore. Particularly abundant in moist, shaded areas and the upper shore",no,,-15 to 5 °C,,5--35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hildenbrandia,rubra
103,Himanthalia elongata,"thong weed, seathong, sea spaghetti, thongweed, sea bean",Phaeophyta,Macro,"brown, yellow-green",marine,"Norway, Britain, Ireland, north west coast of France, northern Spain and Portugal. New source: commonly found in the Baltic, North Sea, and north-eastern Atlantic from Scandinavia to Portugal and Ireland. I","rocks/rock pools, somewhat wave-exposed shores","no, but can carry invasive organisms",,,10 to 12 °C,30-40 PSU,,Not likely,Most notably impacted by changes in wave/current exposure rather than temperature change or other chnaging environmental factors,Intermediate. Short term acute change and long term chronic change abot to adapt and withstand temps relatively well. relatively more tolerant than most,15mm,,yes,yes,,low labor and cultivation costs,Yes,"mainly harvesting from wild stocks (29 companies, 10 tonnes, FAO 2022 data, EU)",rapid growth rate. optimum growth when favourable conditions occur in early spring – maximum growth rates of up to 16 mm d−,"harvested by hand (France), harvested manually from shore, on foot, during low tides or from vessels by diving (Atlantic coast of Spain)",June - December,"A study used subcritical water extraction (SWE) in a pressurized reactor, using acetone fractionation to precipitate the crude fucoidan and liquid-phase. Calcium chloride was then added to the liquid phase which is conveted to sodium alginate. The yield of sodium alginate from SWE was 5.9% but increased to 15.9% with increasing acetone - greater yield than other species. New source: Hydrothermal processing until edible texture. A drying pre-treatment before boiling reduced cooking time so less leaching of antioxidants during boiling.","Sold in France, Britain, Norway, Spainm Portugal and Ireland as Sea Spaghetti for human consumption","Northern, Western, Southern Europe",,"protein (6-11%), vitamin C, Calcium, iodine, iron, magnesium, Manganese",Yes,"takes up Ammonia. New source: yes, trace amounts - Zn, boron, Fe, Manganese",Dalton marine cosmetics uses in its skincare to prevent premature skin aging,,used for the extraction of carrageenans,used for cultivation of artichokes,"used in beauty products like facial cleansers; antioxidants, moisturising, antibacterial and anti-UV properties",,,Watersipora subtorquata,"Can be dried and then used as a spagetti subsitute or soaked in water and used in Salads - mild in taste. New source: used in new meat product formulations as a natural preservative, lowers sodium content, improves phytochemical and fiber content. Considerable amounts of dietary fiber that contribute to a healthy gut + metabolic function; Receptacles of Himanthalia elongata can be cooked or pickled before eating them as “haricots de mer” (sea beans). Fronds are best when collected young in spring.","Good for skin, bone. Eye, and heart health. New source: Has a wide range of bioactive compounds that contribute to properties including: anti-mycotic, anti-histamine, anticholiergic, anti-photogamage, anti-oteoperosis activities, decreasing bood cholesterol, and preventing vascular thrombosis. Contains fucoxanthin and fucoxanthinal which exert potentially anti-cancer effects, anti-inflammation, anti-obesity, anti-diabetes, anti-hypertension, anti-cardiovascular disease, anti-microbial, antioxidant, photoreceptive, anti-angiogenesis, and anti-brain damage activities (in humans + animals)",Anyone with an iodine allergy must avoid and people with thyroid issues must consult their physicians or health care providers prior to use/consumption,used for the cultivation of artichokes and it is used in beauty products like facial cleansers. New source: used for the extraction of carrageenans (Atlantic coast of Spain),"Good for skin, bone. Eye, and heart health. New source: Has a wide range of bioactive compounds that contribute to properties including: anti-mycotic, anti-histamine, anticholiergic, anti-photogamage, anti-oteoperosis activities, decreasing bood cholesterol, and preventing vascular thrombosis. Contains fucoxanthin and fucoxanthinal which exert potentially anti-cancer effects, anti-inflammation, anti-obesity, anti-diabetes, anti-hypertension, anti-cardiovascular disease, anti-microbial, antioxidant, photoreceptive, anti-angiogenesis, and anti-brain damage activities (in humans + animals)","Can be dried and then used as a spagetti subsitute or soaked in water and used in Salads - mild in taste. New source: used in new meat product formulations as a natural preservative, lowers sodium content, improves phytochemical and fiber content. Considerable amounts of dietary fiber that contribute to a healthy gut + metabolic function",Anyone with an iodine allergy must avoid and people with thyroid issues must consult their physicians or health care providers prior to use/consumption,,,,,,Himanthalia,elongata
104,Hydropuntia edulis,"ceylon moss, jafna moss",Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,"G. edulis: coir rope and nets, nylon rope nets, nylon monolines in Mandapam, India",,,,,,,,,,,,G. edulis: agar production,,,,,,,,,,,,,,,,,,"Gracilaria lichenoides,Gracilaria taenioides,Gracilaria edulis",Hydropuntia,edulis
105,Hypnea musciformis,"hooked red seaweed, crozier weeds",Rhodophyta,Macro,red,marine,Sicily,"calm intertidal and shallow subtidal reef flats, tidepools and on rocky intertidal benches",yes,"invasive in Hawaii, native to Maui",-30 to 15 °C,,35-40,0 to 15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypnea,musciformis
106,Hypnea spp.,,Rhodophyta,Macro,red,"marine, freshwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypnea,
107,Iridaea spp.,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iridaea,
108,Jania rubens,slender-beaded coral weed,Rhodophyta,Macro,red,marine,"Ireland, Scotland, Wales, south-west England, Isle of Man, Channel Islands, Mediterranean, Azores, Portugal, Atlantic coast of Spain and France, Netherlands, Baltic Sea","Epiphytic, only found growing epiphytically on older plants of the brown algae Cladostephus spongiosus and at the base of old, long-established Cystoseiraspecies in the lower intertidal",,,-20 to 10 °C,,30-35,10 to 20 m,,,,,,,,,,,,,,,,,,,,,,Dalton Marine Cosmetics uses J. rubens in their red algae extract,,,,,,,,,,,,,,,,,,,,Jania,rubens
109,Jaagichlorella luteoviridis,,Chlorophyta,Micro,green,freshwater,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaagichlorella,luteoviridis
110,Kallymenia reniformis,beautiful kidney weed,Rhodophyta,Macro,red,marine,"south-west England, Wales, Ireland (except east coast), west Scotland, Shetlands, Mediterranean, Azores, Portugal, Atlantic coasts of Spain and France, Baltic Sea, Croatia",Epilithic and on the stipes of Laminaria in the upper sublittoral,,,-15 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kallymenia,reniformis
111,Laminaria digitata,"Oarweed, Tangle, Strapweed",Phaeophyta,Macro,brown,marine,Atlantic coasts of Europe from Northern Russia to the Canary Islands. Also present in Baltic and Black Sea.,"rocky substrate, somewhat sheltered rock pools",no,,,10 to 15 °C,,20 m,,,,2.5m long/60cm wide,,,yes,,,,,,,,,,,,,,,Dalton marine cosmetics uses L. digitata in its skincare to prevent premature skin aging,,,growth-enhancing properties,,,,,,cancer treatments in China,,,,,,,,,,Laminaria palmata,Laminaria,digitata
112,,"Irish names: Coirleach, Ribíní",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Laminaria hyperborea,"tangleweed, strapwrack, forest kelp, sea rods, cuvie; Irish names: Leathnach, Feam, Scotach, Feamainn Bhealtaine",Phaeophyta,Macro,brown,marine,Ireland,"rocky areas, depth distribution depends on light penetration",no,,,,,30 m,yes,is predicted to be pushed out of the warm-temperate region of the North Atlantic due to global warming,,,,,,,,,,,,,,"Ireland, norway, france",,,,,,,alginate for biotech,,,,,"It forms extensive subtidal forests which support a huge diversity of other flora and fauna, much like a mature forest would on land. They form a very important part of rocky-shore ecosystems in Ireland and energetically provide critical support for nearby ecosystems",,food additive,,,,,,,,,,,Laminaria cloustoni,Laminaria,hyperborea
114,Laminaria ochroleuca,,Phaeophyta,Macro,brown,marine,"Portuguese and North-West coasts of Spain, Azores, Morocco, coast of Brittany, France, English and Bristol Channels","rocks from the low water spring tide level to the shallow subtidal. In some locations Laminaria ochroleuca may be found in deeper water. For example, in the Isles of Scilly a park of Laminaria ochroleuca is found deeper than Laminaria hyperborea at a depth of about 25 m.",yes,invasive in Ireland,-20 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laminaria,ochroleuca
115,"Laminaria sp. (sp.: hyperbora, digitata)",,Phaeophyta,Macro,brown,marine,,,,,,,,,,,"max temp 18C or 20C depending on species (18C; saccharina, groenlandica, setchellü, 20C; sinclairü)",,,yes,yes,,,,Laminaria sp. has high potential for offshore aquaculture in Netherlands - native (growth season restricted to winter),,harvesting is traditionally carried out by a fleet of small vessels operating seasonally (France). New source: Laminaria sp. has high potential for offshore aquaculture in Netherlands - native (growth season restricted to winter),traditionally harvested from May to September (France),,,,,,,,,,,,,,,,,cancer treatments in China,,,,,,,,,,,Laminaria,"sp. (sp.: hyperbora, digitata)"
116,Laurencia spp.,Red seaweed,Rhodophyta,Macro,red,marine,,,,,,,,,,,max temp 23C (Laurencia spectabilis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurencia,
117,Laurencia viridis,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurencia,viridis
118,Leathesia marina,"punctured ball weed, sea cauliflower",Phaeophyta,Macro,brown,marine,"Shetlands to the Channel Islands, Mediterranean, Black Sea, Azores, Portugal, Spain, France, Netherlands, Germany, Baltic Sea, Sweden, Norway, Faroes, Iceland",,introduced but not invasive,,-15 to 5 °C,,25-25,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leathesia difformis,Leathesia,marina
119,Limnospira indica,Indian spirulina,Cyanobacteria,Cyanobacterium/Spirulina,blue-green,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthrospira indica,Limnospira,indica
120,Lomentaria articulata,bunny-eared bead-weed,Rhodophyta,Macro,red,marine,"Ireland, Britain, Norway, Mediterranean","Found on rocks and in pools on the middle and lower shore, particularly in shady places, under other algae and overhangs",no,,-15 to 10 °C,,30-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,important food source for small snails,,,,,,,,,,,,,,Lomentaria,articulata
121,Macrocystis pyrifera,"giant kelp, sea ivy",Phaeophyta,Macro,brown,marine,,,no,,,,,,yes,extreme ocean acidification has been known to slightly reduce germination rate,,,,,,,,,,,,,,,,,,,,,,,,acetone extracts - in vivo UVB-photoprotective activity,,,,,,,,,,,,,,,,Macrocystis,pyrifera
122,Mastocarpus papillatus,"Grapestone, Turkish washcloth",Rhodophyta,Macro,red,marine,Iceland,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mastocarpus,papillatus
123,Mastocarpus spp.,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mastocarpus,
124,Mastocarpus stellatus,"false Irish moss, grape pip weed",Rhodophyta,Macro,red,marine,"British Isles, Portugal, Spain, Netherlands, Norway, Faroes, Iceland, the most northerly record is Gjesvaer near the North Cape of Norway. Greenland","rocky shores, particularly in very exposed areas where it grows amongst barnacles and mussels, on less exposed shores it is often abundant under fucoids. It mainly inhabits the lower shore and rockpools, but can be found in the shallow sublittoral and occasionally deeper waters",no,,-15 to 5 °C,,30-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,Dalton Marine Cosmetics uses Gigartina stellata in their twin red algae extract,,,,,,,,,,,,,,,,,,,"Gigartina stellata,Gigartina mamillosa",Mastocarpus,stellatus
125,Membranoptera alata,winged weed,Rhodophyta,Macro,red,marine,"Ireland, Greenland, Iceland, Spain, North Atlantic","Grows on rocks or on other red and brown seaweeds as an epiphyte, particularly laminarians. Inhabits shady rock pools, the sublittoral and deeper waters",no,,-15 to 5 °C,,20-25,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Membranoptera,alata
126,Meristotheca papulosa,rosy pudding plant,Rhodophyta,Macro,red,marine,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meristotheca,papulosa
127,Microchloropsis gaditana,,,Micro,brown,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microchloropsis,gaditana
128,Monostroma grevillei,sea cellophane,Chlorophyta,Macro,green,marine,"Scotland, France, Netherlands, Baltic Sea, Norway, Faroes, Iceland.","in rockpools and on rock from mid-tide downwards. Commonly epiphyte on Ceramium, Polysiphonia, and Corallina officinalis in rock pools",no,,-15 °C,,15-35,0 to 1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enteromorpha grevillei,Ulva grevillei",Monostroma,grevillei
129,Monostroma nitidum,green nori,Chlorophyta,Macro,green,marine,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monostroma,nitidum
130,Nannochloropsis oculata,,,Micro,green,brackish,UK,supralitoral rock pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zeaxanthin - antirosinase activity used for skin whitening,,,,,,,,,,,,,,,,Nannochloropsis,oculata
131,Nannochloropsis sp.,,,Micro,brown/green,"marine, brackish, freshwater","Dominant market in Europe, but divided/can be harvested in Asia, North America, Middle East and Africa",,,,,,,,,All growth stops when temperatures reach 31 C or below 9C,,,,yes,,,"Relativelely low cost, compared with some competing microalgae",yes,,,,year round,"made into powder or fresh pastes, also can be used in liquid or frozen forms.","Spain, Portugal",,,"84-89% digestible protein, rich in lipids, omega-3 fatty acids",,,Azalgae makes omega-3 powders from Nannochloropsis sp.,,,,,,,,,,,"used as an energy rich food source for fish larvae and rotifer. Also much research is being done in terms of using it for biofuels.High levels of pigment for a range of pigments, contain some bluelight sensing proteins",,,,,,,,,Nannochloropsis,
132,Nemalion elminthoides,"threadweed, turkish spaghetti",Rhodophyta,Macro,red,marine,"British Isles except south-eastern England, Medirerranean, Azores, Portugal, Spain, Netherlands,Norway",Epilithic in rock pools,no,,-20 to 10 °C,,30-40,0 to 6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nemalion,elminthoides
133,Nereocystis luetkeana,"sea whip, seatron, bull kelp, bull-whip kelp",Phaeophyta,Macro,brown,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nereocystis,luetkeana
134,Odontella aurita,,Bacillariophyta,Micro,"brown, golden brown",marine,,most abundant in north temperate regions. Possibly a littoral species,,,-20 to 5 °C,,30-40,0 to 20 m,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odontella,aurita
135,Odonthalia dentata,northern tooth weed,Rhodophyta,Macro,red,marine,UK,"found growing on boulders, bedrock and mobile substrata in lower-shore pools and from near extreme low water to approximately 20 m depth. Found at moderately to extremely wave-exposed sites and at wave-sheltered sites with exposure to strong tidal currents",no,,-15 to 5 °C,,30-35,0 to 30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odonthalia,dentata
136,Osmundea pinnatifida,"pepper dulse, truffle of the sea",Rhodophyta,Macro,red,marine,"Britain and the north-western coasts of France, Spain and eastern Europe","Common to middle and lower rocky shores, often covering large areas with a greenish-yellow turf like growth in pools and on rocks but never subtidal",no,,-20 to 10 °C,,20-40,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peppery flavors and can be used as a condiment,,"should be consumed in moderation, as its terpenes and phenols may be associated with health risk",,,,,,,,,Laurencia pinnatifida,Osmundea,pinnatifida
137,Osmundea spp.,"flat fern-weeds, pepper dulse",Rhodophyta,Macro,red,marine,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmundea,
138,Osmundea truncata,,Rhodophyta,Macro,red,marine,"Denmark, UK",Very rare. Epilithic or epiphytic in shallow sublittoral,no,,-20 to 10 °C,,30-38,0 to 1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmundea,truncata
139,Padina pavonica,Peacock's tail,Phaeophyta,Macro,brown,marine,"Austria, France, Germany, Switzerland","found in pools on rocky shores consisting of soft substrata and occasionally in the shallow infralittoral. These shore platforms are usually backed by rapidly receding sandstone and mud-stone cliffs. Padina pavonica is often found near clay, silt or sandy sediments",,,-20 to 10 °C,,35-40,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Padina,pavonica
140,Palmaria palmata,"Dulse, (Ireland, scotland), dilsk red dulse (Ireland, scotland), red dulse, sea lettuce flakes,",Rhodophyta,Macro,red,marine,"grows naturally throughout Britain and Ireland (but absent from much of the Eastern coast of England. Found along moderately sheltered coasts in the Atlantic spanning from Arctic Russia to Portugal, also found in North America, Japan, and Korea. New source: Mainly along North Atlantic coasts withing latitudinal range of approx 40 -80 degrees","On rock, mussels and epiphytic on several algae, intertidal (at all levels but particularly near low water) and shallow subtidal , especially on upper part of Laminaria hyperborea stipes",no,,0 to 20 °C,,30 to 40 (occurs in intertidal areas which often experience variation in salinity due to precipitation),10 m,Potentially,"Currently still growing in the coastal areas of Europe and Asia - the current climate is favorable for Dulse's growth, but this is possibly subject to change as the climate is changing at unprecedented rates","was shown to be less resistant to oxidative stress caused by elevated temperatures (>20 °C) and hypo- and hyper salinity compared to a proliferative macroalgal species of the subtidal zone i.e. Grateloupia turuturu. REduced producitvity >14C, mortality of biomass at 21C","3-8cmfronds, 20-50cm in length. New source: usually 10-20cm long but up to 50",Mainly harvest wild - pressure on wild populations. Large industry of wild harvest in canada with no regulations,yes,yes,,,"Yes, also used in coculture systems to feed abalone while also working to remove Ammonia from the water",Europe + North America mainly rely on harvesting wild populations. Cultivation at sea: relatively high growth performance of P. palmata may be achieved in integrated multitrophic aquaculture (IMTA) systems where the species is grown using nutrient efuents from fnfsh production either in land-based facilities or aquaculture sites at sea highlighting the bioremediation potential of the species. No large-scale cultivation. Many comapnies are developing cultivation methodologies. New source: cultivation of species with high demand and high commercial value and for which the extraction from wild stocks is not currently authorized due to environmental protective measures. New source: Palmaria sp. has high potential for offshore aquaculture in Netherlands - native,"8-12% daily under experimental conditions - unlikely that it would be this high on a commercial scale due to large amounts + likely mortality of biomass due to lack of space/nutrients/gas available for gas exchange etc. Cultivation at sea: 0.5 to 1 kg WW per meter longline appears a realistic baseline estimate of the expected biomass yield, relatively fast growth","harvested by hand (France), handpicked for high-end users such as restaurants in recent decades (Norway)","in France April - December, however not in summer months due to bleaching","Mainly dried locally to be sold either in the form of whole blades, flakes or powder by small local businesses or wholesalers (this is a seasonal activity- late spring to autumn)",Widely popular in Asia dried in food sector. Eaten in Iceland versitally too. Also consumed in food globally,Northern Europe,,"Has been a food source for thousands of years - high in protein and fiber (considered comparable to vegetables in terms of its nutritional content. Rich in calcium, potassium, iron, Vitamin A (as carotene). Vitamin C, iodine, tatstes salty but low in sodium. Significant amounts of Vitamin B6, iron, Vitamin B12, flouride, and potassium. New source: has been found that there is lower bioaccessability of protein and amino acid, reducing digestability",,,,pigments used as a florescent marker in immuno-assays,,"animal feed, fertilizers","skin care (lotions, creams, cleansers etc), New source: pigement is used as a colorant in cosmetics products",,,,"salt substitute, New source: colorant in food products. New source: considered to be a superior superfood to kale, used as a bacon substitute (appeals to vegetarian/vegan market), used as a food additative, unique flavor profile, umami; dried and eaten as a snack",,"recent intances of high levels of iodine found (in Norway) - concerns for national food safety due to potential negative health effects of excessive intake. Average values are lower than the iodine levels found in commercial kelp species and weekly consumption will not expose the consumer to excessive iodine intakes. New source: has been found that there is lower bioaccessability of protein and amino acid, reducing digestability. Processing steps such as boiling, freshwater-soaking, and fermentation have been shown to improve digestability of proteins","Mainly used in animal feed and fertilizers, but its extract is also used in skin care products like lotions , creams, cleansers, etc. Also used as a salt substitute. New source: hycoerythrin pigment is used as a colorant in food and cosmetic products and as fuorescent marker in immuno-assays",,"Considered to be a superfood superior to Kale, being used as a bacon substitute (appeals to vagan/vegetarian market). Seaweed flakes already on the market - used as a food additive. Unique flavor profile, umami, remarkable nutritional profile",recent intances of high levels of iodine found (in Norway) - concerns for national food safety due to potential negative health effects of excessive intake. Average values are lower than the iodine levels found in commercial kelp species and weekly consumption will not expose the consumer to excessive iodine intakes.,"has been found that there is lower bioaccessability of protein and amino acid, reducing digestability. Processing steps such as boiling, freshwater-soaking, and fermentation have been shown to improve digestability of proteins","fronds vary in shape and color at times, from deep rose to reddish purple, so if used for its color, this may vary at times.",moisture content highest during winter and spring,,,Palmaria,palmata
141,Parachlorella kessleri,,Chlorophyta,Micro,green,"freshwater, terrestrial",Southern Europe,,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parachlorella,kessleri
142,Pelvetia canaliculata,"Cow tang, channelled wrack; Irish: Dubhlamán, Múirín na muc, Caisíneach",Phaeophyta,Macro,brown,marine,"Channel Islands, UK, Ireland","bedrock, sometimes free living",no,,-15 to 5 °C,,30-35,0 to 15 m,,,,15cm,,,,,,,,,,,,,,,,,,,,natural production of chloroform??,,,,,,,,,,,,,,,,,,Pelvetia,canaliculata
143,Petalonia binghamiae,,Phaeophyta,Macro,brown,marine,Portugal,subtidal rocky reefs,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petalonia,binghamiae
144,Petalonia fascia,Broad leaf weed,Phaeophyta,Macro,brown,"marine, brackish",UK,"Generally growing on stones and shells in shallow pools in sheltered places, particularly in harbours",no,,-25 to 5 °C,,20-37,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petalonia,fascia
145,Phaeodactylum tricornutum,,Bacillariophyta,Micro,green,"marine, brackish","France, Germany, Finland",pelagic and benthic habitats,no,,-30 to 5 °C,-15 to 10 °C,25-35,0 to 20 m,,"Not yet, but research suggests that changes in temp, pH, and salinity will impact its growth",,,,yes,,,High - extraction and purification accounts for 60% of price of biofuel production for species of Eugena being used for biofuel currently,yes,,,Can be cultivated at various salt concentrations (marine and brackish).,,"Under optimal, high-nutrient conditions, it produces even higher volumes of carotenoids.",,,,"high in protein, the carotenoid Fx, EPA, an omega-3 polyunsaturated fatty acid (n-3 PUFA), and Chrl, a β-glucan",,,"IGV PlantTech uses as a food supplement, DHA, and APA",,,,ethanol extract used in anti-aging and UV protection treatments,,,,,,,,"Produces antimicrobial compounds, can possibly be used for anti-aging/skin care products. Rich in carotenoids (especially fucoxanthin) which is known to be anti-oxidative, anti -inflammatory, anti-dyslipidemia and anti-obesity effects. Therefore has potential in neutrecuetical/supplemet fields.",,,,,,,,Phaeodactylum,tricornutum
146,Phymatolithon calcareum,Calcified seaweed,Rhodophyta,Macro,red,marine,"Austria, Belgium, France, Germany, Italy, Switzerland","forms in coarse clean sediments of gravels and clean sands, and occur either on the open coast or in tide-swept channels of stony marine inlets",no,,-20 to 5 °C,,33-38,10 to 15 m,,,,2-10cm,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,food consumption and supplement,,,,,,,,,"OBS: EU law prohibits the addition of the alga Lithothamnium calcareum in the processing of organic foodstuffs such as rice- and soya-based organic drinks, for the purpose of their enrichment with calcium.",,Lithothamnium calcareum,Phymatolithon,calcareum
